,company_name_final,company_type_final,company_headquarter_location_final,company_age_final,Number_of_Employees_final
0,  Udaan  ,  Private  ,"  Bangalore,Karnataka + 304 more  ",  6 years old  ,  1k-5k Employees (India)  
1,  Oyo Rooms  ,  Private  ,"  Gurgaon,Haryana + 103 more  ",  9 years old  ,  1k-5k Employees (India)  
2,  Ecom Express  ,  Private  ,"  Gurgaon,Haryana + 481 more  ",  10 years old  ,  10k-50k Employees (India)  
3,  Whitehat jr  ,  Private  ,"  Mumbai,Maharashtra + 43 more  ",  4 years old  ,  5k-10k Employees (India)  
4,  Swiggy  ,  Private  ,"  Bangalore,Karnataka + 136 more  ",  8 years old  ,  10k-50k Employees (India)  
5,  CMS IT Services  ,  Private  ,"  Bangalore,Karnataka + 120 more  ",  8 years old  ,  5k-10k Employees (India)  
6,  CARS24  ,  Private  ,"  Gurgaon,Haryana + 130 more  ",  7 years old  ,  5k-10k Employees (India)  
7,  Rivigo  ,  Private  ,"  Gurgaon,Haryana + 146 more  ",  8 years old  ,  1k-5k Employees (India)  
8,  BlackBuck  ,  Private  ,"  Bangalore,Karnataka + 201 more  ",  7 years old  ,  1k-5k Employees (India)  
9,  Blinkit  ,  Private  ,"  Gurgaon,Haryana + 51 more  ",  9 years old  ,  5k-10k Employees (India)  
10,  XpressBees  ,  Private  ,"  Pune,Maharashtra + 172 more  ",  7 years old  ,  1k-5k Employees (India)  
11,  Ninjacart  ,  Private  ,"  Bangalore,Karnataka + 73 more  ",  7 years old  ,  1k-5k Employees (India)  
12,  ElasticRun  ,  Private  ,"  Pune,Maharashtra + 231 more  ",  6 years old  ,  1k-5k Employees (India)  
13,  Intellect Design...  ,  Public  ,"  Chennai,Tamil Nadu + 22 more  ",  8 years old  ,  1k-5k Employees (India)  
14,  PhonePe  ,  Private  ,"  Bangalore,Karnataka + 135 more  ",  7 years old  ,  1k-5k Employees (India)  
15,  NoBroker  ,  Private  ,"  Bangalore,Karnataka + 22 more  ",  8 years old  ,  1k-5k Employees (India)  
16,  Unacademy  ,  Private  ,"  Bangalore,Karnataka + 40 more  ",  7 years old  ,  1k-5k Employees (India)  
17,  Paisabazaar.com  ,  Private  ,"  Gurgaon/Gurugram,Haryana + 6 more  ",  8 years old  ,  1k-5k Employees (India)  
18,  Meesho  ,  Private  ,"  Bangalore,Karnataka + 61 more  ",  7 years old  ,  1k-5k Employees (India)  
19,  SYSKA LED Lights  ,  Private  ,"  Pune,Maharashtra + 115 more  ",  10 years old  ,  1k-5k Employees (Global)  
20,  Planet Spark  ,  Private  ,"  Gurgaon,Haryana + 22 more  ",  5 years old  ,  51-200 Employees (India)  
21,  Aye Finance  ,  Private  ,"  Delhi,NCT + 176 more  ",  9 years old  ,  1k-5k Employees (India)  
22,  Toppr  ,  Private  ,"  Mumbai,Maharashtra + 42 more  ",  9 years old  ,  501-1k Employees (India)  
23,  FastInfo  ,  Private  ,"  Kolkata,West Bengal + 5 more  ",  3 years old  ,  501-1k Employees (India)  
24,  Paytm Payments B...  ,  Public  ,"  Noida,Uttar Pradesh + 80 more  ",  6 years old  ,  1k-5k Employees (India)  
25,  Medlife  ,  Private  ,"  Bangalore,Karnataka + 29 more  ",  8 years old  ,  1k-5k Employees (India)  
26,  UpGrad  ,  Private  ,"  San Francisco,California + 28 more  ",  7 years old  ,  1k-5k Employees (India)  
27,  Wheelseye Techno...  ,  Private  ,"  Gurgaon,Haryana + 127 more  ",  5 years old  ,  11-50 Employees (India)  
28,  Shadowfax Techno...  ,  Public  ,"  Bangalore,Karnataka + 92 more  ",  7 years old  ,  1k-5k Employees (India)  
29,  Better.com  ,"  New York City,New York + 2 more  ",  6 years old  ,  201-500 Employees (India)  , nan 
30,  LivSpace  ,  Private  ,"  Bangalore,Karnataka + 18 more  ",  7 years old  ,  1k-5k Employees (India)  
31,  Urban Company  ,  Private  ,"  Gurgaon,Haryana + 34 more  ",  7 years old  ,  1k-5k Employees (India)  
32,  Tata 1mg  ,  Private  ,"  Gurgaon,Haryana + 37 more  ",  7 years old  ,  1k-5k Employees (India)  
33,  uFaber  ,  Private  ,"  Mumbai,Maharashtra + 13 more  ",  9 years old  ,  501-1k Employees (India)  
34,  Cult.fit  ,  Private  ,"  Bangalore,Karnataka + 24 more  ",  6 years old  ,  1k-5k Employees (India)  
35,  Rupeek  ,  Private  ,"  Bangalore,Karnataka + 37 more  ",  7 years old  ,  1k-5k Employees (India)  
36,  PharmEasy  ,  Private  ,"  Mumbai,Maharashtra + 31 more  ",  7 years old  ,  1k-5k Employees (India)  
37,  iMerit  ,  Private  ,"  Kolkata,West Bengal + 7 more  ",  10 years old  ,  1k-5k Employees (India)  
38,  Samunnati Financ...  ,  Private  ,"  Chennai,Tamil Nadu + 46 more  ",  8 years old  ,  501-1k Employees (India)  
39,  Ola Electric Mob...  ,  Private  ,"  Bangalore,Karnataka + 40 more  ",  5 years old  ,  1k-5k Employees (India)  
40,  Spoton Logistics  ,  Private  ,"  Bangalore,Karnataka + 65 more  ",  10 years old  ,  1k-5k Employees (India)  
41,  Spinny  ,  Private  ,"  Gurgaon,Haryana + 25 more  ",  7 years old  ,  1k-5k Employees (India)  
42,  NoBrokerHOOD  ,  Bengaluru/Bangalore + 17 more  ,  501-1k Employees (India)  , nan , nan 
43,  Housing.com  ,  Private  ,"  Gurgaon,Haryana + 21 more  ",  10 years old  ,  1k-5k Employees (India)  
44,  Pristyn Care  ,  Private  ,"  Delhi,NCT + 16 more  ",  4 years old  ,  1k-5k Employees (India)  
45,  Rebel Foods  ,  Private  ,"  Mumbai,Maharashtra + 41 more  ",  10 years old  ,  5k-10k Employees (India)  
46,  KFin Technologie...  ,"  Hyderabad,Telangana + 18 more  ",  5 years old  ,  1k-5k Employees (India)  , nan 
47,  Finastra  ,  Private  ,"  Toronto,Ontario + 10 more  ",  5 years old  ,  1k-5k Employees (India)  
48,  Tracxn  ,  Private  ,"  Bangalore,Karnataka + 5 more  ",  9 years old  ,  501-1k Employees (India)  
49,  LEAD School  ,"  Mumbai,Maharashtra + 43 more  ",  9 years old  ,  1k-5k Employees (India)  , nan 
50,  HomeLane  ,  Private  ,"  Bangalore,Karnataka + 17 more  ",  8 years old  ,  501-1k Employees (India)  
51,  Stanza Living  ,  Private  ,"  Delhi,NCT + 19 more  ",  5 years old  ,  501-1k Employees (India)  
52,  Digit Insurance  ,  Private  ,"  Bangalore,Karnataka + 43 more  ",  6 years old  ,  1k-5k Employees (India)  
53,  Lido Learning  ,"  Mumbai,Maharashtra + 15 more  ",  3 years old  ,  201-500 Employees (India)  , nan 
54,  Cuemath  ,  Private  ,"  Bangalore,Karnataka + 16 more  ",  9 years old  ,  1k-5k Employees (India)  
55,  Portea Medical  ,  Private  ,"  Bangalore,Karnataka + 19 more  ",  9 years old  ,  501-1k Employees (India)  
56,  Kissht Finance  ,  Private  ,"  Mumbai,Maharashtra + 49 more  ",  7 years old  ,  51-200 Employees (India)  
57,  Agrostar  ,"  Pune,Maharashtra + 22 more  ",  9 years old  ,  1k-5k Employees (India)  , nan 
58,  Online Legal Ind...  ,  Private  ,"  Kolkata,West Bengal + 1 more  ",  3 years old  ,  501-1k Employees (India)  
59,  Evelyn Learning ...  ,  Private  ,"  Delhi/NCR,New Delhi + 8 more  ",  9 years old  ,  201-500 Employees (India)  
60,  Ciel HR  ,  Private  ,"  Bangalore,Karnataka + 46 more  ",  9 years old  ,  51-200 Employees (India)  
61,  Embibe  ,  Private  ,"  Bangalore,Karnataka + 8 more  ",  10 years old  ,  1k-5k Employees (India)  
62,  1 India Family M...  ,  Private  ,"  Gurgaon,Haryana + 51 more  ",  10 years old  ,  201-500 Employees (India)  
63,  Black Knight  ,  Private  ,"  Jacksonville,Florida + 2 more  ",  8 years old  ,  501-1k Employees (India)  
64,  Reshamandi  ,  Private  ,"  Bangalore,Karnataka + 21 more  ",  2 years old  ,  501-1k Employees (India)  
65,  Nowfloats Techno...  ,  Private  ,"  Hyderabad,Telangana + 35 more  ",  10 years old  ,  201-500 Employees (India)  
66,  Licious  ,  Private  ,"  Bangalore,Karnataka + 21 more  ",  7 years old  ,  1k-5k Employees (India)  
67,  ByteDance  ,  Private  ,"  Shanghai,Shanghai + 11 more  ",  10 years old  ,  1k-5k Employees (India)  
68,  Corteva Agriscie...  ,  Public  ,"  Wilmington,Delaware + 50 more  ",  3 years old  ,  1k-5k Employees (India)  
69,  Clarivate Analyt...  ,  Public  ,"  Philadelphia,Pennsylvania + 8 more  ",  6 years old  ,  1k-5k Employees (India)  
70,  Veritas Finance  ,  Private  ,"  Chennai,Tamil Nadu + 98 more  ",  7 years old  ,  1k-5k Employees (India)  
71,  FoodPanda  ,  Private  ,"  Berlin,Berlin + 15 more  ",  10 years old  ,  501-1k Employees (India)  
72,  Keysight Technol...  ,  Private  ,"  Santa Rosa,California + 7 more  ",  8 years old  ,  1k-5k Employees (India)  
73,  Katerra  ,  Private  ,"  Menlo Park,California + 10 more  ",  7 years old  ,  501-1k Employees (India)  
74,  Quantiphi Analyt...  ,  Private  ,"  Mumbai,Maharashtra + 6 more  ",  9 years old  ,  1k-5k Employees (India)  
75,  Zolo  ,  Private  ,  Bangalore + 14 more  ,  7 years old  ,  501-1k Employees (India)  
76,  Collegedunia  ,  Private  ,"  Gurgaon/Gurugram,Haryana + 12 more  ",  8 years old  ,  1k-5k Employees (India)  
77,  Groupon  ,  Private  ,"  Chicago,Illinois + 6 more  ",  14 years old  ,  1k-5k Employees (India)  
78,  Housejoy  ,  Private  ,"  Bangalore,Karnataka + 16 more  ",  8 years old  ,  201-500 Employees (India)  
79,  Zoomcar  ,  Private  ,"  Bangalore,Karnataka + 28 more  ",  10 years old  ,  1k-5k Employees (India)  
80,  DataTrained  ,  LLP  ,"  Bangalore,Karnataka + 1 more  ",  10 years old  ,  51-200 Employees (India)  
81,  FabHotels  ,  Private  ,"  Gurgaon,Haryana + 24 more  ",  8 years old  ,  501-1k Employees (India)  
82,  Nestaway  ,  Private  ,"  Bangalore,Karnataka + 12 more  ",  7 years old  ,  201-500 Employees (India)  
83,  NeoGrowth Credit  ,  Private  ,"  Mumbai,Maharashtra + 23 more  ",  9 years old  ,  501-1k Employees (India)  
84,  HungerBox  ,  Private  ,"  Bangalore,Karnataka + 13 more  ",  6 years old  ,  501-1k Employees (India)  
85,  Testbook.com  ,  Private  ,"  Mumbai,Maharashtra + 12 more  ",  8 years old  ,  501-1k Employees (India)  
86,  Healthcare At Ho...  ,  Private  ,"  Noida,Uttar Pradesh + 23 more  ",  10 years old  ,  201-500 Employees (India)  
87," ""BYJU S Exam Prep"" ",  Private  ,"  Noida,Uttar Pradesh + 12 more  ",  7 years old  ,  501-1k Employees (India)  
88,  Skill Lync  ,  California + 7 more  ,  7 years old  ,  201-500 Employees (India)  , nan 
89,  Moglix  ,  Private  ,"  Singapore,Singapore + 24 more  ",  7 years old  ,  501-1k Employees (India)  
90,  Supr Daily  ,  Private  ,"  Bangalore,Karnataka + 22 more  ",  7 years old  ,  11-50 Employees (India)  
91,  DealShare  ,  Private  ,"  Jaipur,Rajasthan + 31 more  ",  4 years old  ,  201-500 Employees (India)  
92,  Porter  ,  Private  ,"  Bangalore,Karnataka + 15 more  ",  8 years old  ,  1k-5k Employees (India)  
93,  Doubtnut  ,  Private  ,"  Gurgaon,Haryana + 11 more  ",  6 years old  ,  201-500 Employees (India)  
94,  myGate  ,  Private  ,"  Bangalore,Karnataka + 16 more  ",  6 years old  ,  1k-5k Employees (India)  
95,  Classcanyon  ,  Private  ,"  Greater Noida,Uttar Pradesh + 3 more  ",  1 years old  ,  51-200 Employees (India)  
96,  5paisa Capital  ,  Public  ,"  Thane,Maharashtra + 6 more  ",  7 years old  ,  501-1k Employees (India)  
97,  LendingKart  ,  Public  ,"  Ahmedabad,Gujarat + 20 more  ",  8 years old  ,  201-500 Employees (India)  
98,  Ichhapurti.com  ,  Gurgaon/Gurugram + 23 more  , nan , nan , nan 
99,  Flyhomes  ,"  Seattle,Washington + 7 more  ",  7 years old  ,  201-500 Employees (India)  , nan 
100,  Paper boat  ,"  Bangalore,Karnataka + 37 more  ",  9 years old  ,  51-200 Employees (India)  , nan 
101,  Weddingz.in  ,  Private  ,"  Mumbai,Maharashtra + 27 more  ",  7 years old  ,  501-1k Employees (India)  
102,  Treebo Hotels  ,  Private  ,"  Bangalore,Karnataka + 23 more  ",  7 years old  ,  51-200 Employees (India)  
103,  Cashify  ,  Private  ,"  Gurgaon,Haryana + 20 more  ",  9 years old  ,  501-1k Employees (India)  
104,  CallHealth  ,  Private  ,"  Hyderabad,Telangana + 13 more  ",  9 years old  ,  51-200 Employees (India)  
105,  MagicPin  ,  Private  ,"  Gurgaon,Haryana + 12 more  ",  7 years old  ,  201-500 Employees (India)  
106,  Zetwerk Manufact...  ,  Private  ,"  Bangalore,Karnataka + 23 more  ",  4 years old  ,  501-1k Employees (India)  
107,  Turtlemint  ,"  Mumbai,Maharashtra + 37 more  ",  7 years old  ,  1k-5k Employees (India)  , nan 
108,  Examity  ,"  Needham,Massachusetts + 3 more  ",  9 years old  ,  201-500 Employees (Global)  , nan 
109,  Dunzo  ,  Private  ,"  Bangalore,Karnataka + 10 more  ",  8 years old  ,  1k-5k Employees (India)  
110,  Ather Energy  ,  Private  ,"  Bangalore,Karnataka + 8 more  ",  9 years old  ,  1k-5k Employees (India)  
111,  VAYA Finserv  ,  Private  ,"  Hyderabad,Telangana + 40 more  ",  8 years old  ,  1k-5k Employees (India)  
112,  JoulestoWatts Bu...  ,  Private  ,"  Bangalore,Karnataka + 11 more  ",  7 years old  ,  51-200 Employees (India)  
113,  BridgeLabz Solut...  ,"  Mumbai,Maharashtra + 8 more  ",  6 years old  ,  201-500 Employees (India)  , nan 
114,  NOON.COM  ,  LLC  ,"  Burj Khalifa,Dubai + 10 more  ",  6 years old  ,  1k-5k Employees (India)  
115,  Healthians  ,  Private  ,"  Gurgaon,Haryana + 24 more  ",  9 years old  ,  501-1k Employees (India)  
116,  Urban Ladder  ,  Private  ,"  Bangalore,Karnataka + 19 more  ",  10 years old  ,  201-500 Employees (India)  
117,  Polestar Solutio...  ,  Private  ,"  Noida,Uttar Pradesh + 6 more  ",  10 years old  ,  201-500 Employees (India)  
118,  Toothsi  ,"  Mumbai,Maharashtra + 12 more  ",  4 years old  ,  501-1k Employees (India)  , nan 
119,  Flipkart Health+  ,  Private  ,"  Kolkata,West Bengal + 17 more  ",  9 years old  ,  501-1k Employees (India)  
120,  HealthifyMe  ,  Private  ,"  Bangalore/Bengaluru,Karnataka + 8 more  ",  10 years old  ,  1k-5k Employees (India)  
121,  Netmeds.com  ,  Private  ,"  Chennai,Tamil Nadu + 34 more  ",  7 years old  ,  501-1k Employees (India)  
122,  Cure foods  ,  Private  ,"  Bangalore,Karnataka + 13 more  ",  6 years old  ,  501-1k Employees (India)  
123,  Securens System  ,  Private  ,"  Mumbai,Maharashtra + 27 more  ",  10 years old  ,  201-500 Employees (India)  
124,  ShareChat  ,  Private  ,"  Bangalore,Karnataka + 18 more  ",  7 years old  ,  1k-5k Employees (India)  
125,  Rapido  ,  Private  ,"  Bangalore,Karnataka + 38 more  ",  7 years old  ,  1k-5k Employees (India)  
126,  IndustryBuying.c...  ,  Private  ,"  Delhi,NCT + 11 more  ",  9 years old  ,  51-200 Employees (India)  
127,  ShopX  ,  Private  ,"  Bangalore,Karnataka + 28 more  ",  7 years old  ,  201-500 Employees (India)  
128,  ShopKirana  ,  Private  ,"  Indore,Madhya Pradesh + 15 more  ",  8 years old  ,  501-1k Employees (India)  
129,  Voylla  ,  Private  ,"  Jaipur,Rajasthan + 39 more  ",  10 years old  ,  201-500 Employees (India)  
130,  Citykart Retail  ,  Private  ,"  Delhi,NCT + 36 more  ",  6 years old  ,  201-500 Employees (India)  
131,  BharatPe  ,  Private  ,"  Bangalore,Karnataka + 42 more  ",  4 years old  ,  201-500 Employees (India)  
132,  Loadshare Networ...  ,  Private  ,"  Bangalore,Karnataka + 37 more  ",  5 years old  ,  501-1k Employees (India)  
133,  Incred Finance  ,  Private  ,"  Mumbai,Maharashtra + 17 more  ",  6 years old  ,  501-1k Employees (India)  
134,  Anunta Technolog...  ,  Private  ,"  Mumbai,Maharashtra + 9 more  ",  10 years old  ,  201-500 Employees (India)  
135,  Bada Business  ,  New Delhi + 24 more  ,  3 years old  ,  5k-10k Employees (India)  , nan 
136,  SpeedLabs  ,  Private  ,"  Mumbai,Maharashtra + 13 more  ",  7 years old  ,  51-200 Employees (India)  
137,  Helloverify  ,"  Noida,Uttar Pradesh + 4 more  ",  10 years old  ,  201-500 Employees (India)  , nan 
138,  AVIOM  ,  Private  ,"  Delhi,NCT + 62 more  ",  6 years old  ,  201-500 Employees (India)  
139,  Country Holidays...  ,  Private  ,"  New Delhi,Delhi + 4 more  ",  201-500 Employees (India)  , nan 
140,  Gojavas  ,  Private  ,"  Gurgaon,Haryana + 45 more  ",  9 years old  ,  1k-5k Employees (India)  
141,  Imarticus Learni...  ,  Private  ,"  Mumbai,Maharashtra + 10 more  ",  10 years old  ,  501-1k Employees (India)  
142,  Scaler Academy  ,  Private  ,"  Bangalore,Karnataka  ",  3 years old  ,  1k-5k Employees (India)  
143,  KrazyBee  ,  Private  ,"  Bangalore,Karnataka + 8 more  ",  6 years old  ,  51-200 Employees (India)  
144,  Shyplite  ,  Private  ,"  Delhi,NCT + 1 more  ",  7 years old  ,  51-200 Employees (India)  
145,  RenewBuy  ,  Private  ,"  Gurgaon,Haryana + 35 more  ",  8 years old  ,  1k-5k Employees (India)  
146,  WAKEFIT INNOVATI...  ,  Private  ,"  Bangalore,Karnataka + 21 more  ",  8 years old  ,  1k-5k Employees (India)  
147,  Infra.Market  ,  Private  ,"  Thane,Maharashtra + 28 more  ",  6 years old  ,  501-1k Employees (India)  
148,  TALENTEDGE  ,  Private  ,"  Mumbai,Maharashtra + 8 more  ",  10 years old  ,  201-500 Employees (India)  
149,  Great Learning  ,"  Gurgaon,Haryana + 6 more  ",  9 years old  ,  501-1k Employees (India)  , nan 
150,  LEAP India  ,  Private  ,"  Coimbatore,Tamil Nadu + 15 more  ",  9 years old  ,  51-200 Employees (India)  
151,  SirionLabs  ,  Private  ,"  Bellevue,Washington + 1 more  ",  10 years old  ,  501-1k Employees (India)  
152,  InnovAccer  ,  Private  ,"  San Francisco,California + 1 more  ",  8 years old  ,  501-1k Employees (India)  
153,  RapiPay  ,  Private  ,"  Noida,Uttar Pradesh + 35 more  ",  4 years old  ,  501-1k Employees (India)  
154,  StoreKing  ,  Private  ,"  Bangalore,Karnataka + 17 more  ",  10 years old  ,  501-1k Employees (India)  
155,  FreshMenu  ,  Private  ,"  Bangalore,Karnataka + 5 more  ",  8 years old  ,  201-500 Employees (India)  
156,  NxtWave  ,"  Hyderabad,Telangana + 4 more  ",  2 years old  ,  1k-5k Employees (India)  , nan 
157,  Livguard  ,  Private  ,"  Gurgaon,Haryana + 17 more  ",  8 years old  ,  501-1k Employees (India)  
158,  Cogoport  ,  Private  ,"  Mumbai,Maharashtra + 8 more  ",  6 years old  ,  51-200 Employees (India)  
159,  Propertypistol R...  ,  Private  ,"  Mumbai,Maharashtra + 11 more  ",  10 years old  ,  501-1k Employees (India)  
160,  Xanadu Realty  ,  Private  ,"  Toronto,Ontario + 7 more  ",  7 years old  ,  201-500 Employees (India)  
161,  Wicked Ride Adve...  ,  Private  ,"  Bangalore,Karnataka + 6 more  ",  8 years old  ,  51-200 Employees (India)  
162,  Zepto  ,"  Mumbai,Maharashtra + 13 more  ",  1 years old  ,  501-1k Employees (India)  , nan 
163,  Hindustan Wellne...  ,  Private  ,"  Gurgaon,Haryana + 2 more  ",  8 years old  ,  11-50 Employees (India)  
164,  Axio  ,  Private  ,"  Bangalore,Karnataka + 16 more  ",  9 years old  ,  501-1k Employees (India)  
165,  Furlenco  ,  Private  ,"  Bangalore,Karnataka + 11 more  ",  10 years old  ,  201-500 Employees (India)  
166,  Aspiro Pharma  ,  Private  ,"  Bangalore,Karnataka  ",  10 years old  ,  51-200 Employees (India)  
167,  Droom  ,  Private  ,"  Gurgaon,Haryana + 1 more  ",  8 years old  ,  201-500 Employees (India)  
168,  GoMechanic  ,  Private  ,"  Gurgaon,Haryana + 20 more  ",  6 years old  ,  501-1k Employees (India)  
169,  Milkbasket  ,  Private  ,"  Gurgaon,Haryana + 7 more  ",  7 years old  ,  501-1k Employees (India)  
170,  Bluestone.com  ,  Private  ,"  Bangalore,Karnataka + 19 more  ",  11 years old  ,  501-1k Employees (India)  
171,  Xome  ,  Private  ,"  Lewisville,Texas + 3 more  ",  10 years old  ,  201-500 Employees (India)  
172,  Addverb Technolo...  ,  Private  ,"  Noida,Uttar Pradesh + 9 more  ",  6 years old  ,  501-1k Employees (India)  
173,  Razorpay  ,  Private  ,"  Bangalore,Karnataka + 6 more  ",  8 years old  ,  1k-5k Employees (India)  
174,  LimeRoad  ,  Private  ,"  Gurgaon,Haryana + 3 more  ",  10 years old  ,  501-1k Employees (India)  
175,  Fipola Retail  ,  Private  ,"  Chennai,Tamil Nadu + 5 more  ",  6 years old  ,  1k-5k Employees (India)  
176,  Pharmarack Techn...  ,  Private  ,"  Pune,Maharashtra + 14 more  ",  7 years old  ,  51-200 Employees (India)  
177,  Fraazo  ,"  Mumbai,Maharashtra + 11 more  ",  6 years old  ,  51-200 Employees (India)  , nan 
178,  Ofbusiness  ,  Private  ,  Gurgaon + 15 more  ,  7 years old  ,  201-500 Employees (India)  
179,  FarEye  ,  Private  ,"  Noida,Uttar Pradesh + 2 more  ",  9 years old  ,  501-1k Employees (India)  
180,  Avanse Financial...  ,  Private  ,"  Mumbai,Maharashtra + 16 more  ",  10 years old  ,  51-200 Employees (India)  
181,  Expertrons  ,"  Mumbai,Maharashtra + 4 more  ",  3 years old  ,  201-500 Employees (India)  , nan 
182,  Trell  ,"  Bangalore,Karnataka + 7 more  ",  6 years old  ,  501-1k Employees (India)  , nan 
183,  Innoplexus  ,  Private  ,"  Eschborn,Hessen  ",  7 years old  ,  201-500 Employees (India)  
184,  Upwork  ,  Public  ,"  Santa Clara,California + 23 more  ",  7 years old  ,  501-1k Employees (India)  
185,  BrightCHAMPS  ,"  Bangalore,Karnataka + 13 more  ",  2 years old  ,  501-1k Employees (India)  , nan 
186,  Smarter BIZ Tech...  ,  Private  ,"  Bangalore/Bengaluru,Karnataka + 8 more  ",  8 years old  ,  51-200 Employees (India)  
187,  Classplus  ,  Private  ,"  Noida,Uttar Pradesh + 12 more  ",  7 years old  ,  201-500 Employees (India)  
188,  House of Beauty  ,"  Gurgaon/Gurugram,Haryana + 12 more  ",  3 years old  ,  51-200 Employees (India)  , nan 
189,  IndiaLends  ,  Private  ,"  Delhi,NCT + 2 more  ",  8 years old  ,  201-500 Employees (India)  
190,  Vyapar  ,  Private  ,"  Bangalore,Karnataka + 2 more  ",  7 years old  ,  201-500 Employees (India)  
191,  CityMall  ,  Private  ,"  Gurgaon,Haryana + 14 more  ",  3 years old  ,  51-200 Employees (India)  
192,  Zeta  ,  Private  ,"  Bangalore,Karnataka + 10 more  ",  7 years old  ,  501-1k Employees (India)  
193,  Pin Click  ,"  Bangalore,Karnataka + 5 more  ",  8 years old  ,  51-200 Employees (India)  , nan 
194,  DeHaat  ,  Private  ,"  Patna,Bihar + 26 more  ",  3 years old  ,  1k-5k Employees (India)  
195,  NEARBY TECHNOLOG...  ,  Mumbai + 16 more  ,  6 years old  ,  1k-5k Employees (India)  , nan 
196,  Vistaprint  ,  Private  ,  Mumbai + 7 more  ,  10 years old  ,  1k-5k Employees (India)  
197,  Smart Works  ,  Private  ,"  Delhi,NCT + 12 more  ",  6 years old  ,  201-500 Employees (India)  
198,  FunnL  , nan , nan , nan , nan 
199,  Avanti Learning ...  ,  Mumbai + 15 more  ,  10 years old  ,  201-500 Employees (India)  , nan 
200,  Indifi Technolog...  ,  Private  ,"  Gurgaon,Haryana + 6 more  ",  7 years old  ,  201-500 Employees (India)  
201,  Mfine  ,  Private  ,"  Bangalore,Karnataka + 4 more  ",  5 years old  ,  201-500 Employees (India)  
202,  Acko General Ins...  ,  Private  ,"  Mumbai,Maharashtra + 3 more  ",  6 years old  ,  501-1k Employees (India)  
203,  Bikayi  ,  Private  ,"  Bengaluru/Bangalore,Karnataka + 3 more  ",  3 years old  ,  201-500 Employees (India)  
204,  Exclusífe Techno...  ,  Private  ,"  Noida,Uttar Pradesh + 10 more  ",  9 years old  ,  11-50 Employees (India)  
205,  BillDesk  ,  Public  ,"  Mumbai,Maharashtra + 12 more  ",  22 years old  ,  201-500 Employees (Global)  
206,  DigiVersal Consu...  ,  Private  ,  Noida + 1 more  ,  7 years old  ,  201-500 Employees (India)  
207,  LetsTransport  ,"  Bangalore,Karnataka + 13 more  ",  7 years old  ,  201-500 Employees (India)  , nan 
208,  PolicyX.com  ,  Private  ,"  Gurgaon/Gurugram,Haryana + 4 more  ",  9 years old  ,  51-200 Employees (India)  
209,  Indiafilings  ,  Private  ,"  Chennai,Tamil Nadu + 7 more  ",  9 years old  ,  501-1k Employees (Global)  
210,  Karza Technologi...  ,  Private  ,"  Mumbai,Maharashtra + 1 more  ",  7 years old  ,  201-500 Employees (India)  
211,  Bloombrain Learn...  ,  Private  ,  New Delhi + 5 more  , nan , nan 
212,  Housr  ,"  Gurgaon,Haryana + 3 more  ",  4 years old  ,  11-50 Employees (India)  , nan 
213,  Delhi Institute ...  ,  Private  ,  New Delhi + 4 more  ,  8 years old  ,  51-200 Employees (India)  
214,  ZunRoof Tech  ,  Private  ,"  Gurgaon,Haryana + 5 more  ",  6 years old  ,  51-200 Employees (India)  
215,  TheMathCompany  ,  Private  ,"  Bangalore,Karnataka + 2 more  ",  6 years old  ,  501-1k Employees (India)  
216,  Waah Jobs  ,"  Bangalore,Karnataka + 11 more  ",  7 years old  ,  1-10 Employees (India)  , nan 
217,  Fitelo  ,"  Chandigarh,Chandigarh + 1 more  ",  3 years old  ,  51-200 Employees (India)  , nan 
218,  CollegeDekho  ,"  Gurgaon,Haryana + 8 more  ",  7 years old  ,  501-1k Employees (India)  , nan 
219,  KapitalTech  ,  Public  ,"  Mumbai,Maharashtra + 27 more  ",  8 years old  ,  201-500 Employees (India)  
220,  Payswiff Solutio...  ,  Private  ,"  Hyderabad,Telangana + 11 more  ",  9 years old  ,  201-500 Employees (India)  
221,  Arzooo.com  ,"  Bangalore,Karnataka + 23 more  ",  6 years old  ,  51-200 Employees (India)  , nan 
222,  Awign Enterprise...  ,  Private  ,"  Bangalore,Karnataka + 13 more  ",  6 years old  ,  51-200 Employees (India)  
223,  Novopay Solution...  ,  Private  ,"  Bangalore,Karnataka + 16 more  ",  9 years old  ,  201-500 Employees (India)  
224,  RentoMojo  ,  Private  ,  Bangalore + 10 more  ,  8 years old  ,  201-500 Employees (India)  
225,  SoCoMo Technolog...  ,  Private  ,"  Chandigarh,Union Territory Of Chandigarh + 17 more  ",  8 years old  ,  51-200 Employees (India)  
226,  Vogo Automotive  ,  Private  ,"  Montpellier,Herault + 7 more  ",  6 years old  ,  51-200 Employees (India)  
227,  Teachmint  ,  Private  ,"  Bengaluru/Bangalore,Karnataka + 8 more  ",  2 years old  ,  501-1k Employees (India)  
228,  MediBuddy  ,"  Bangalore,Karnataka + 6 more  ",  9 years old  , nan , nan 
229,  NuvoEx  ,  Private  ,"  Delhi,NCT + 15 more  ",  9 years old  ,  1k-5k Employees (India)  
230,  Woodenstreet.com  ,  Private  ,"  Jaipur,Rajasthan + 12 more  ",  7 years old  ,  51-200 Employees (India)  
231,  Atomberg Technol...  ,  Private  ,"  Mumbai,Maharashtra + 11 more  ",  10 years old  ,  201-500 Employees (India)  
