,company_name_final,company_type_final,company_headquarter_location_final,company_age_final,Number_of_Employees_final
3900,  Adeeshi Solution...  ,  Sole Proprietorship  ,"  Noida,Uttar Pradesh  ",  1 years old  ,  1-10 Employees (India)  
3901,  Nupay  ,"  Gurgaon,Haryana  ",  6 years old  , nan , nan 
3902,  Articbot  ,"  Kannur,Kerala  ",  5 years old  , nan , nan 
3903,  Ubiqare Health  ,"  Bangalore,Karnataka  ",  5 years old  ,  11-50 Employees (India)  , nan 
3904,  MatchLog Solutio...  ,"  Mumbai,Maharashtra  ",  3 years old  ,  11-50 Employees (India)  , nan 
3905,  Toppeq  ,"  Mumbai,Maharashtra  ",  3 years old  ,  11-50 Employees (India)  , nan 
3906,  CustomerGlu  ,  Private  ,  Palo Alto  ,  6 years old  ,  11-50 Employees (India)  
3907,  Nanoweb Technolo...  ,  Private  ,"  New Delhi,Delhi  ",  4 years old  ,  11-50 Employees (India)  
3908,  TechDrive Servic...  ,  Private  ,  New Brunswick  ,  11-50 Employees (Global)  , nan 
3909,  Unleashed Premiu...  ,  Sole Proprietorship  ,"  Faridabad,Haryana  ",  2 years old  ,  1-10 Employees (India)  
3910,  Supply6  ,"  Bangalore,Karnataka  ",  4 years old  ,  11-50 Employees (India)  , nan 
3911,  Solaris bank  ,"  Berlin,Berlin  ",  6 years old  , nan , nan 
3912,  Ekank Technologi...  ,"  Delhi,NCT  ",  2 years old  ,  11-50 Employees (India)  , nan 
3913,  mHealth  ,"  Delhi,NCT  ",  2 years old  , nan , nan 
3914,  Karnival  ,"  Bangalore,Karnataka  ",  3 years old  , nan , nan 
3915,  CSC Grameen e-St...  ,"  Hyderabad,Telangana  ",  2 years old  ,  11-50 Employees (India)  , nan 
3916,  UrbanMatrix Tech...  ,"  Bangalore,Karnataka  ",  3 years old  ,  11-50 Employees (India)  , nan 
3917,  FlixBus  ,"  Munich,Bavaria  ",  9 years old  , nan , nan 
3918,  Zenpay Solutions  ,"  Delhi,NCT  ",  4 years old  ,  11-50 Employees (India)  , nan 
3919,  PlushMeet  ,"  Ahmedabad,Gujarat  ",  6 years old  , nan , nan 
3920,  Zola Pragati Fas...  ,"  New York City,New York  ",  8 years old  , nan , nan 
3921,  BLACK LAKE TECHN...  ,"  Xuhui,Shanghai Shi  ",  6 years old  , nan , nan 
3922,  Burgerama  ,"  Delhi,NCT  ",  4 years old  ,  11-50 Employees (India)  , nan 
3923,  SKT Themes  ,  LLC  ,"  Nagpur,Maharashtra  ",  9 years old  ,  51-200 Employees (India)  
3924,  Liradolf Informa...  ,"  Bangalore,Karnataka  ",  8 years old  , nan , nan 
3925,  Foodstrong  ,"  Mumbai,Maharashtra  ",  2 years old  , nan , nan 
3926,  Till POS  ,"  Hyderabad,Telangana  ",  6 years old  , nan , nan 
3927,  Aarpie Events  ,  Sole Proprietorship  ,"  Gurgaon/Gurugram,Haryana  ",  4 years old  ,  11-50 Employees (India)  
3928,  Bhaokaal Media N...  ,  Private  ,"  Nagpur,Maharashtra  ",  1 years old  ,  1-10 Employees (India)  
3929,  UrbanDart  ,  Private  ,"  Hyderabad,Telangana  ",  5 years old  ,  11-50 Employees (Global)  
3930,  Marley Spoon  ,"  Berlin,Berlin  ",  8 years old  , nan , nan 
3931,  Digilooks Health...  ,"  Delhi,NCT  ",  4 years old  , nan , nan 
3932,  Hello Health  , nan , nan , nan , nan 
3933,  Glynk India  , nan , nan , nan , nan 
3934,  HappiDoc  ,"  Bangalore,Karnataka  ",  8 years old  , nan , nan 
3935,  Hyperloop  ,  50k-1 Lakh Employees (India)  , nan , nan , nan 
3936,  Olivetheory  ,"  Mumbai,Maharashtra  ",  10 years old  , nan , nan 
3937,  Plugo  , nan , nan , nan , nan 
3938,  BioPrime AgriSol...  ,"  Nanded,Maharashtra  ",  6 years old  , nan , nan 
3939,  Fresh up  ,"  Tirupati,Andhra Pradesh  ",  5 years old  , nan , nan 
3940,  SOCAR  ,"  Jeju-si,Jeju-do  ",  10 years old  , nan , nan 
3941,  Telr Payment Sol...  ,"  Mumbai,Maharashtra  ",  9 years old  , nan , nan 
3942,  Macmerise  ,"  Mumbai,Maharashtra  ",  10 years old  ,  51-200 Employees (India)  , nan 
3943,  ProSmart  ,"  Kelowna,British Columbia  ",  8 years old  , nan , nan 
3944,  Digital Hari  ,  Sole Proprietorship  ,"  Madurai,Tamil Nadu  ",  3 years old  ,  1-10 Employees (India)  
3945,  Strive Training ...  ,  Sole Proprietorship  ,  2 years old  ,  1-10 Employees (India)  , nan 
3946,  Ramble Car Renta...  ,  One person company  ,  1 years old  ,  1-10 Employees (India)  , nan 
3947,  Dadreeios  ,  Sole Proprietorship  ,  1-10 Employees (India)  , nan , nan 
3948,  HMC Aviation Poi...  ,  Private  ,"  Kolkata,West Bengal  ",  11-50 Employees (India)  , nan 
3949,  We Think North  ,  Sole Proprietorship  ,  3 years old  ,  11-50 Employees (India)  , nan 
3950,  Mogae Digital  ,  Private  ,  Mumbai  ,  51-200 Employees (Global)  , nan 
3951,  Reasoning Global  ,  Private  ,  201-500 Employees (Global)  , nan , nan 
3952,  BlackBelt Help  ,  Private  ,"  Gurgaon,Haryana  ",  8 years old  , nan 
3953,  Instaclick  ,  Private  ,"  Delhi,NCT  ",  7 years old  , nan 
